"Dato (Date)","Dokumenttitel (Title of the document)"
1953-09-24,"Bekendtgørelse om uddannelse på de anerkendte børnehaveseminarier"
1953-09-25,"Bekendtgørelse om uddannelse på de anerkendte fritidshjemsseminarier"
1953-12-19,"Bekendtgørelse om provinslærerkursus i sløjd"
1954-01-14,"Bekendtgørelse om dispensationer fra bestemmelser om eksamenspensa ved studentereksamen"
1954-02-15,"Bekendtgørelse om ændring af bekendtgørelse af 28. september 1946 angående bestemmelser om det pligtige timetal for folkeskolens lærere"
1954-02-18,"Lov om ændring af lov af 416 af 12. juli 1946 om friskoler, om hjemmeundervisning m.m."
1954-03-18,"Bekendtgørelse af lov om friskoler, om hjemmeundervisning samt efterløskassen for friskoler og efterskoler"
1954-03-31,"Lov om oprettelse af en statsskole i Rødovre"
1954-05-15,"Bekendtgørelse om ændring i bestemmelser om Thorshavn kommuneskole"
1954-06-11,"Lov om oprettelse af et pædagogisk institut"
1954-06-11,"Lov om uddannelse af lærere til folkeskolen."
1954-06-11,"Lov om vederlagsfri undervisning m.v. i de offentlige højere almenskoler"
1954-06-26,"Bekendtgørelse om gratis læremidler i de offentlige højere almenskoler i henhold til § 2 i lov nr. 194 af 11. juni 1954"
1954-07-21,"Cirkulærskriv. ang. optagelsesprøven ved seminarierne 1955"
1954-10-08,"Anordning om ændring af anordning om prøve i pædagogik og undervvisningsfærdighed for lærere ved statens højere almenskoler"
1954-11-01,"Anordning om studentereksamen for privatister"
1954-11-25,"Cirkulærskriv. ang. gennemførelse af præparanduddannelsen efter lov af 11. juni 1954 om læreruddannelsen samt ang. lovens ikrafttrædelse"
1955-01-24,"Bekendtgørelse om vederlagsfri undervisning i de offentlige højere almenskoler"
1955-03-09,"Anordning om ændring i anordning angående karaktergivningen ved de højere almenskoler og censuren ved disse skolers afsluttende eksaminer"
1955-04-05,"Bekendtgørelse om fribefordring af skoleelever m.v."
1955-04-05,"Bekendtgørelse om uddannelse af lærere til folkeskolen"
1955-04-05,"Bekendtgørelse om uddannelse af lærere til folkeskolen (Den 4-årige almindelige uddannelse og den 3-årige almindelige uddannelse for studenter) (111)"
1955-05-24,"Lov om ændring af lov om private tysksprogede skoler, tysksproget hjemmeundervisning m.m. i de sønderjyske landsdele"
1955-05-27,"Bekendtgørelse om ansættelse af småbørnslærerinder i folkeskolen"
1955-07-22,"Bekendtgørelse om religionsundervisningen i gymnasiet"
1955-11-23,"Lov om ændring af lov om lønninger og pensioner for lærere ved folkeskolen på Færøerne"
1955-11-24,"Bekendtgørelse om realeksamen fra realskolen i Grønland"
1956-01-19,"Anordning angående almindelig forberedelseseksamen af 5. juli 1944 således som den er ændret ved anorsningerne af 7. juni 1946 og 19. januar 1956"
1956-01-19,"Bekendtgørelse om almindelig forberedelseseksamen fra 3-årige kursus"
1956-01-19,"Kgl. anordning om almindelig forberedelseseksamen"
1956-04-30,"Anordning om ændring i anordning om karaktergivning ved de højere almenskoler og censuren ved disse skolers afsluttende eksaminer"
1956-05-02,"Bekendtgørelse om ændringer af bestemmelse angående eksamensordningen ved de højere almenskolers offentligt kontrollerede eksminer"
1956-05-25,"Lov om oprettelse af en statsskole i Aalborg"
1956-09-11,"Anordning om ændring af anordning om sproglig-historisk skoleembedseksamen ved Københavns og Aarhus universiteter"
1957-04-12,"Lov om ændring af lov om skolelæger"
1957-05-08,"Bekendtgørelse om pædagogiske prøver for lærere ved statsseminarierne (152)"
1957-10-03,"Bekendtgørelse af lov om skolelæge"
1957-10-26,"Bekendtgørelse om Danmarks Lærerhøjskoles provinsårskursus"
1958-02-17,"Bekendtgørelse om sløjdlæreruddannelse på de anerkendte sløjdlærerskoler Dansk sløjdlærerskole og Askov sløjdlærerskole"
1958-05-08,"Bekendtgørelse om forlængelse af bekendtgørelse om vederlagsfri undervisning i de offenltlige højere almenskoler"
1958-05-21,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse på de anerkendte børnehaveseminarier"
1958-05-21,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse på de anerkendte fritidshjemsseminarier"
1958-06-07,"Lov om gymnasieskoler - 7. juni 1958"
1958-06-07,"Lov om ændringer af lov om folkeskolen"
1958-06-18,"Bekendtgørelse af lov om folkeskolen - 18. juni 1958"
1958-09-01,"Undervisningsvejledning for folkeskolen : betænkning / afgivet af det af Undervisningsministeriet under 1. september 1958 nedsatte læseplansudvalg. (Betænkning ; 253, 297. Kaldet den blå betænkning)"
1958-11-29,"Cirkulær om de ved lov nr. 163 af 7. juni 1958 fastsatte ændringer af Folkeskoleloven"
1958-12-12,"Bekendtgørelse om forlængelse af bekendtgørelse om vederlagsfri undervisning i de offenltlige højere almenskoler"
1959-04-15,"Lov om ændring af lov om statstilskud til anerkendte private seminarier"
1959-05-25,"Bekendgørelse om adgang for folkeskolens lærere til at opnå lønforskud m.m."
1959-06-05,"Lov om fordeling af udgifterne til statsskoler og kommunale gymnasieskoler uden for København Frederiksberg og Gentofte"
1959-06-05,"Lov om statstilskud til priavte gymnasieskoler og om statstilskud til private realskoler i København Frederiksberg og Gentofte"
1959-06-05,"Lov om statstilskud til private eksamensberettigede realskoler uden for København Frederiksberg og Gentofte"
1959-06-07,"Lov om ændring af lov om folkeskolen - 7. juni 1959"
1959-06-11,"Bekendtgørelse om fribefordring af skoleelever m.fl."
1959-07-14,"Bekendtgørelse om Danmarks pædagogiske Institut"
1960-05-18,"Lov om ændringer af lov om friskoler om hjemmeundervisning samt om efterlønskassen for friskoler og efterskoler"
1960-05-21,"Bekendtgørelse af lov om friskoler om hjemmeundervisning samt efterlønskassen for friskoler og efterskoler"
1960-06-10,"Lov om fordeling af udgifter til gymnasier m.v."
1960-06-10,"Lov om statstilskud til Københavns kommunale skolevæsen. (Ændring af folkeskoleloven i § 2.)"
1960-10-14,"Bekendtgørelse om understøttelse til elever på de private efterskoler"
1960-11-01,"Det nye gymnasium: betænkning / afgivet af det af Undervisningsministeriet under 27. februar 1959 nedsatte læseplansudvalg for gymnasiet (Betænkning; 269. Kaldet den røde betænkning)"
1960-11-14,"Forslag til ny karakterskala, læseplansudvalget for folkeskolen og læseplansudvalget for gymnasiet"
1961-02-09,"Bekendtgørelse om optagelse af elever i 1. realklasse og 1. gymnasieklasse på realskoler og gymnasieskoler"
1961-03-25,"Lov om statstilskud til private gymnasieskoler"
1961-03-25,"Lov om statstilskud til private studenterkursus"
1961-05-17,"Lov om statens overtagelse af Gjedved Seminarium"
1961-05-17,"Lov om statens overtagelse af Vordingborg Seminarium"
1961-06-12,"Bekendtgørelse om uddannelsen på de anerkendte børnehaveseminarier"
1961-06-28,"Bekendtgørelse om eksamenordningen og karaktergivningen m.v. ved realeksamen og oprykningsprøverne i realafdelingen"
1961-06-28,"Bekendtgørelse om fordringerne og prøveformerne ved realeksamen og oprykningsprøven fra 2. realklasse"
1961-07-26,"Anordning om sproglig-historisk skoleembedseksamen"
1961-09-04,"Bekendtgørelse om fordeling af udgifter til statsskoler og kommunale gymnasieskoler"
1961-09-06,"Bekendtgørelse om fordelingerne ved og eksamensopgivelserne til studentereksamen"
1961-09-06,"Bekendtgørelse om undervisningen i gymnasiet - 6. september 1961"
1962-02-03,"Bekendtgørelse om sproglig-historisk skoleembedseksamen"
1962-02-07,"Lov om læreruddannelsen på Færøerne"
1962-02-21,"Lov om ændringer i lov om det kommunale skolevæsens styrelse og tilsyn"
1962-02-22,"Bekendtgørlse af Lov om det kommunale skolevæsens styrelse og tilsyn"
1962-03-01,"Lov om foranstaltninger mod lærermangelen i folkeskolen"
1962-03-10,"Bekendtgørelse om regler for afstemning om oprettelse af skolenævn og for valg af skolekommissioner og skolenævn uden for København"
1962-06-14,"Lov om ændring af lov om skolelæger"
1962-06-16,"Lov om midlertidig ændring i lov om uddannelse af lærere til folkeskolen"
1962-06-16,"Lov om statstilskud til private realskoler"
1962-06-16,"Lov om ændringer i lov om folkeskolen"
1962-06-22,"Lov om offentlig skolebespisning"
1962-07-04,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen på de anerkendte børnehaveseminarier"
1962-07-04,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen på de anerkendte fritidshjemsseminarier"
1962-07-31,"Bekendtgørelse af Lov om skolelæger"
1962-10-09,"Et forslag til ny karakterskala, P. Rubinstein"
1962-11-02,"Forslag til ny karakterskala, Statskonsulenten for undervisningsministeriet i sager vedrørende folkeskolen og seminarierne, undervisningsinspektøren for gymnasieskolerne"
1963-01-23,"Anordning om ændring af anordning om studertereksamen for privatister"
1963-01-28,"Bekendtgørelse om optagelse af elever i 1.gymnasieklasse"
1963-02-04,"Bekendtgørelse om karakterskala"
1963-02-04,"Bekendtgørelse om realeksamen ved statsanerkendte kusus samt for privatister"
1963-02-05,"Bekendtgørelse om ændring af bekendtgørlse nr. 238 af 28. juni 1961 om eksamensordningen og karaktergivning"
1963-02-06,"Cirkulære om anvendelsen af den i bekendtgørelse af 4. februar 1963 omhandlede karakterskala"
1963-02-25,"Lov om Danmarks lærerhøjskole"
1963-03-13,"Lov om ændring af lov om statstilskud til anerkendte private seminarier"
1963-03-13,"Lov om ændring i lov om friskoler, om hjemmeundervisning samt om efterlønskassen for friskoler og efterskoler"
1963-03-18,"Bekendtgørelse om optagelse af elever i 1. gymnasieklasse på statens kostskoler"
1963-03-25,"Bekendtgørelse om den pædagogiske uddannelse af lærere ved gymnasieskolen"
1963-04-19,"Bekendtgørelse af Lov om friskoler, om hjemmeundervisning samt om efterlønskassen for friskoler og efterskoler"
1963-05-22,"Lov om ændring i lov om oprettelse af et pædagogisk institut"
1963-06-07,"Lov om ændring af lov om statstilskud til anerkendte private seminarier"
1963-07-25,"Bekendtgørelse af Lov om statstilskud til anerkendte private seminarier"
1963-08-31,"Bekendtgørelse af Lov om folkeskolen"
1963-08-31,"Bekendtgørelse af lov om folkeskolen"
1963-10-09,"Bekendtgørelse om ændring af bekendtgørlse om sproglig-historisk skoleembedseksamen"
1964-03-25,"Bekendtgørelse om ændring af bekendtgørelse om eksamensordning og karaktergivning m.v. ved realeksamen og oprykningsprøverne i realafdelingen"
1964-03-25,"Bekendtgørelse om ændring af bekendtgørelse om fordringer og prøveformerne ved realeksamen og oprykningsprøven fra 2. realklasse"
1964-04-01,"Anordning om ændring af anordning om studentereksamen for privatister"
1964-04-20,"Bekendtgørelse om eksamensordningen og karaktergivningen m.v. ved studentereksamen og i gymnasiet"
1964-04-22,"Bekendtgørelse om studentereksamen ved statsanerkendte kursus og for privatister"
1964-05-13,"Lov om læreruddannelsen i Grønland"
1964-05-13,"Lov om statsskole som forsøgscenter for 8.-10. skoleår"
1964-05-15,"Bekendtgørelse om dispensation i særlige tilfælde fra karakterkrav ved realeksamen og studentereksamen"
1964-06-01,"Bekendtgørelse om uddannelsen til børneforsorgspædagog"
1964-07-10,"Bekendtgørelse om den lille latinprøve"
1964-09-19,"Bekendtgørelse om statslån til forskellige private skoler m.v."
1964-10-09,"Anordning om tillægsprøve i latin til studentereksamen"
1964-10-12,"Bekendtgørelse om stipendier til elever i 8. hovedskoleklasse, 9.-10. klasse og den 3-årige realafdeling samt ved anerkendte kursus til realeksamen"
1964-10-14,"Bekendtgørelse om tillægsprøve i latin til studentereksamen"
1964-12-14,"Anordning for Færøerne om gymnasieskoler"
1965-03-02,"Bekendtgørelse om Danmarks pædagogiske Institut"
1965-03-23,"Bekendtgørelse om ændring af bekendtgørelse om sproglig-historisk skoleembedseksamen"
1965-05-12,"Lov om ændringer i lov om det kommunale skolevæsens styrelse og tilsyn"
1965-05-12,"Lov om ændringer i lov om lønninger m.m. til folkeskolens lærere"
1965-05-26,"Lov om ændring af lov om foranstaltninger mod lærermangelen i folkeskolen"
1965-06-04,"Lov om ændring om lov om Danmarks lærerhøjskole"
1966-01-29,"Bekendtgørelse om fælleslærerråd og lærerråd ved kommunale skoler uden for København - 29. januar 1966"
1966-01-31,"Bekendtgørelse om de kommunale skolemyndigheders stilling til folkeskolens 9. og 10. klasse og til de kommunale eksamensskoler - 31. januar 1966"
1966-03-17,"Bekendtgørelse om ændring af bekendtgørelse om eksamensordningen og karaktergivning m.v. ved realeksamen og oprykningsprøverne i realafdelingen - 17. marts 1966"
1966-04-13,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen - 13. april 1966"
1966-06-08,"Lov om højere forberedelseseksamen - 8. juni 1966"
1966-06-08,"Lov om uddannelse af lærere til folkeskolen - 8. juni 1966"
1966-06-08,"Lov om ændringer i lov om folkeskolen - 8. juni 1966"
1966-07-08,"Bekendtgørelse af lov om folkeskolen - 8. juli 1966"
1966-12-15,"Bekendtgørelse om optagelse af elever i 1. gymnasieklasse - 15. december 1966"
1967-02-28,"Bekendtgørelse om højere forberedelseseksamen og om undervisningen m.v. på kursus til højere forberedelseseksamen (48)"
1967-07-20,"Cirkulære om karaktergivning og meddelelse til hjem (139)"
1968-05-08,"Lov om ændring af lov om gymnasieskoler (148)"
1968-05-31,"Lov om ændring af lov om folkeskolen - 31. maj 1968"
1969-01-01,"Studieplansudvalget for læreruddannelsen"
1969-03-29,"Lov om ændring af lov om folkeskolen"
1969-04-08,"Lov om ændring af lov om folkeskolen"
1969-04-24,"Betænkning over forslag til lov om uddannelse af børnehave- og fritidspædagoger"
1969-05-21,"Lov om uddannelse af børnehave- og fritidspædagoger"
1969-06-04,"Lov om ændring af lov om folkeskolen"
1969-06-18,"Lov om ændring af lov om folkeskolen og om ophævelse af lov om lønninger m. m. til folkeskolens lærere"
1969-06-19,"Bekendtgørelse om uddannelse af lærere til folkeskolen"
1970-01-04,"Bekendtgørelse om faste råd og udvalg m.m. ved seminarierne - 8. januar 1970"
1970-02-09,"Lov om styrelsen af kommunernes skolevæsen m.v. - 9. februar 1970"
1970-03-10,"Bekendtgørelse om godkendelse af privatseminarier - 10. marts 1970"
1970-03-10,"Bekendtgørelse om regulering af folkeskolebyggeriet - 10. marts 1970"
1970-03-16,"Bekendtgørelse om valg af skolekommissioner og skolenævn uden for København - 16. marts 1970"
1970-05-27,"Bekendtgørelse om lederes læreres og elevers deltagelse i møder i kommissioner og nævn efter skolestyrelsesloven m.v. - 27. maj 1970"
1970-05-27,"Lov om ændring af lov om folkeskolen - 27. maj 1970"
1970-05-27,"Lov om ændring af lov om fritidsundervisning m.v., lov om gymnasieskoler og lov om højere forberedelseseksamen - 27. maj 1970"
1970-05-29,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen - 29. maj 1970"
1970-06-04,"Lov om friskoler og private realskoler m.v. - 4. juni 1970"
1970-06-04,"Lov om uddannelsesstøtte"
1970-06-04,"Lov om universiteternes styrelse"
1970-06-12,"Bekendtgørelse af lov om folkeskolen - 12. juni 1970"
1970-06-30,"Bekendtgørelse om ændring af bekendtgørelse om de fagligpædagogiske studier ved Danmarks Lærerhøjskole - 30. juni 1970"
1970-07-02,"Bekendtgørelse af lov om højere forberedelseseksamen - 2. juli 1970"
1970-07-04,"Bekendtgørelse om uddannelse af børnehave- og fritidspædagoger - 4. juli 1970"
1970-07-09,"Bekendtgørelse om forlængelse af midlertidige bestemmelser om undervisning i gymnasiet - 9. juli 1970"
1970-07-10,"Bekendtgørelse af lov om gymnasieskoler og studenterkursus - 10. juli 1970"
1970-07-15,"Bekendtgørelse om fordeling af udgifter til gymnasieskoler og kursus til højere forberedelseseksamen - 15. juli 1970"
1970-07-30,"Bekendtgørelse af lov om fritidsundervisning m.v. - 30. juli 1970"
1970-07-30,"Bekendtgørelse om  højere forberedelseseksamen og om undervisningen m.v. på kursus til  højere forberedelseseksamen 30. juli 1970"
1970-11-05,"Bekendtgørelse om stipendier til elever over undervisningspligtig alder i 7. og 10. klasse - 5. november 1970"
1970-12-09,"Bekendtgørelse om udbydelse af folkeskolebyggeri - 9. december 1970"
1971-03-03,"Lov om ændring af lov om gymnasieskoler og studenterkursus (67)"
1971-03-03,"Lov om ændring af lov om uddannelse af lærere til folkeskolen (68)"
1971-03-31,"Lov om ændring af lov om folkeskolen"
1971-05-19,"Lov om ændring af lov om folkeskolen"
